#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITwarofthering.1;You Stand On The Brink;Sur le Pied de Guerre;;;;;;;;;;;;x
EVTDESCvalinor.3;You have reached the Grey Havens, and you can see the ship that is waiting for you. Gandalf stands on the dock, his eyes full of kindness. You look back, still a little hesitant... will you get on the ship?;Vous êtes enfin arrivé aux Havres Gris, et vous pouvez voir maintenant que le navire vous attend. Gandalf est là, et vous regarde avec bienveillance. Vous regardez en arrière, hésitant encore un peu... Allez-vous enfin monter sur ce bateau?;;;;;;;;;;;;x
EVTOPTAvalinor.3;I will leave these lands, at last.;Je quitte ces Terres !;;;;;;;;;;;;x
EVTOPTBvalinor.3;No! I can't leave my home!;Non, je ne peux quitter ma Maison !;;;;;;;;;;;;x
EVTvalinor.4;End of the Third Age;La Fin du Tiers Age;;;;;;;;;;;;x
EVTDESCvalinor.4;You learn that the Ringbearers have left Middle-earth for Aman. This departure marks the end of the Third Age, now the Time of the Men is coming. The world will never be the same...;Vous apprenez que les porteurs de l'Anneau ont quitté la terre du Milieu. Avec ce départ, c'est le Tiers Age qui s'achève, et le Temps des Hommes qui arrive. Le monde ne sera plus jamais le même...;;;;;;;;;;;;x
EVTOPTAvalinor.4;The Fourth Age!;Le Quatrième Âge !;;;;;;;;;;;;x
EVTvalinor.5;King Elessar is dead!;Le Roi Elessar est mort !;;;;;;;;;;;;x
EVTDESCvalinor.5;King Elessar has died, and with his death, you are one of only two living members of the Fellowship left in Middle-earth. Since seeing the sea, you have been tormented by the sound of waves and seagulls, and you feel it is now time to go...;Le Roi Elessar est mort, et avec sa mort, il ne reste plus que deux membres vivants de votre communauté en Terre du Milieu. Depuis que vous avez vu la Mer, vous êtes tourmenté par la musique des vagues et le chant des mouettes, et vous sentez que plus rien ne vous retient maintenant...;;;;;;;;;;;;x
EVTOPTAvalinor.5;I will sail to the West.;Je vais naviguer vers l'Ouest!;;;;;;;;;;;;x
EVTOPTBvalinor.5;My fate is to die in Middle-Earth.;Mon Destin est de mourir en Terre-du-Milieu;;;;;;;;;;;;x
EVTvalinor.6;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.6;A last member of your Fellowship, Gimli, still lives. You know that no Dwarf has ever walked in the land of Aman, but your friendship is too strong to leave him behind. Will you offer him to accompany you?;Le dernier membre de votre Communauté, Gimli, vit toujours sur ces terres. Vous savez qu'aucun nain n'a jamais marché en pays d'Aman, mais votre amitié est trop forte pour le laisser en retrait. Allez-vous lui proposer de vous accompagner?;;;;;;;;;;;;x
EVTOPTAvalinor.6;We must travel together!;Nous devons voyager ensemble !;;;;;;;;;;;;x
EVTOPTBvalinor.6;No, I want to travel alone.;Non, je souhaite voyager seul.;;;;;;;;;;;;x
EVTvalinor.7;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.7;Legolas invites you to travel with him, to leave Middle-earth for the lands of Aman. You know that if you follow him, you will once again see Lady Galadriel, but you will leave behind your kin, and never be able to return. What will you do?;Legolas vous invite à voyager avec lui, à abandonner la Terre du Milieu pour les terres immortelles d'Aman. Vous savez que si vous le suivez, vous pourrez voir de nouveau la Dame Galadriel, mais vous ne verrez plus jamais les votres, et mourrez là-bas. Que ferez-vous?;;;;;;;;;;;;x
EVTOPTAvalinor.7;We must travel together!;Nous devons voyager ensemble !;;;;;;;;;;;;x
EVTOPTBvalinor.7;No, I want to die in Middle-Earth.;Non, je veux mourir en Terre-du-Milieu;;;;;;;;;;;;x
EVTvalinor.8;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.8;You are now together, and you are making the preparations for this last trip. You must build a strong ship to have a chance to cross the Great Sea, and it'll certainly take several months.;Vous êtes maintenant ensemble, et faites vos préparatifs pour votre dernier grand voyage. Vous devez construire un puissant navire pour avoir une chance de traverser la Grande Mer, et celà prendra certainement plusieurs mois. ;;;;;;;;;;;;x
EVTOPTAvalinor.8;This Ship will be Huge!;Ce Vaisseau sera énorme !;;;;;;;;;;;;x
EVTvalinor.9;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.9;You are alone, and making the preparations for your last big journey. You must build a strong ship to have a chance to cross the Great Sea, and it'll certainly take several months.;Vous êtes seul, mais vous devez faire vos préparatifs pour votre dernier grand voyage. Vous devez construire un puissant navire pour avoir une chance de traverser la Grande Mer, et celà prendra certainement plusieurs mois. ;;;;;;;;;;;;x
EVTOPTAvalinor.9;This ship will be grand!;Ce Vaisseau sera énorme !;;;;;;;;;;;;x
EVTvalinor.10;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.10;Your ship is ready and waiting for you to depart. You take a last look at Middle-Earth, and go to the dock. One last question overwhelms you as you board: Have I made the right choice?;Votre navire est prêt, et n'attend plus que vous pour prendre le large. Vous regardez une dernière fois la Terre du Milieu, et vous allez finalement vers le quai.  Un dernier doute vous submerge au moment de monter à bord. Faites-vous le bon choix?;;;;;;;;;;;;x
EVTOPTAvalinor.10;Yes, I will go to Valinor!;Oui, je vais à Valinor !;;;;;;;;;;;;x
EVTOPTBvalinor.10;No, I will stay in Middle-Earth.;Non, je resterais finalement en Terre du Milieu.;;;;;;;;;;;;x
EVTvalinor.11;A Last Journey...;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.11;You learn that a has ship left for Aman. On board, the Dwarf, Gimli son of Gloin, and the Silvan Elf, Legolas son of Thranduil. The last members of the Fellowship of the Ring. Their departure is a great loss for Middle-Earth.;Vous apprenez qu'un Navire est parti vers Aman, emmenant avec lui le nain Gimli et l'elfe Legolas, les derniers membres de la Communauté de l'Anneau. Leur départ est une grande perte pour la Terre du Milieu.;;;;;;;;;;;;x
EVTOPTAvalinor.11;The Last Journey of the Fellowship...;Le dernier Voyage de la Communauté.;;;;;;;;;;;;x
break_the_vow;Break the Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
break_the_vow_desc;@FIXME@ Break the Vow of Cerin Amroth;@FIXME@ Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTwotr.105;The Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTDESCwotr.105;Sauron has not yet been defeated, and the years pass. You know it will be difficult to honour your commitments to Elrond, and you cannot marry Arwen in these dark times. If you want to make sure your dynasty continues, you will have to break your vow to Arwen, allowing you marry another woman...;Sauron n'est toujours pas vaincu, et les années passent. Vous savez qu'il sera difficile d'honorer vos engagements envers Elrond, et que vous ne pourrez pas vous marier à Arwen dans ces conditions. Si vous voulez que votre dynastie perdure, vous allez devoir rompre votre serment envers Arwen, pour pouvoir épouser une autre femme...;;;;;;;;;;;;x
EVTOPTAwotr.105;I will ask Elrond...;Je demande à Elrond…;;;;;;;;;;;;x
EVTOPTBwotr.105;No, we will be together again.;Non, je peux encore attendre…;;;;;;;;;;;;x
EVTwotr.106;The Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTDESCwotr.106;You receive a letter from Aragorn. He has failed to fulfill his obligations to you and requests that you authorize him to break his vow to Arwen. If you accept, Arwen will finally leave for the land of Aman, where she'll remain, heartbroken, until the end of this World...;Vous recevez une missive d'Aragorn. Il a échoué à remplir ces obligations envers vous, et demande à ce que vous l'autorisiez à défaire son serment envers Arwen. Si vous acceptez, Arwen pourra enfin partir pour les terres d'Aman, où elle demeurera jusqu'à la fin de ce Monde...;;;;;;;;;;;;x
EVTOPTAwotr.106;Arwen, it is time to go West...;Arwen, il est temps d'aller à l'Ouest…;;;;;;;;;;;;x
EVTOPTBwotr.106;No, I can't break her heart...;Non, je ne peux lui briser le cœur…;;;;;;;;;;;;x
EVTwotr.107;Break the Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTDESCwotr.107;Elrond's response arrived quickly. He agreed to break the vow, and tells you that Arwen is already on the road, to the land of Aman. No mortal will ever see her again. You are now free to marry another...;La réponse d'Elrond est arrivée rapidement. Il accepte de rompre le serment, et vous annonce qu'Arwen est déjà en route pour les terres d'Aman. Aucun mortel ne la reverra. Vous êtes maintenant libre d'épouser une autre femme...;;;;;;;;;;;;x
EVTOPTAwotr.107;She will remain my only True Love...;Elle restera mon seul vrai amour…;;;;;;;;;;;;x
EVTwotr.108;Break the Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTDESCwotr.108;Elrond's response arrived quickly. He does not agree with your choice to break the vow, and tells you that there is still hope. You must do your best to save Middle-Earth.;La réponse d'Elrond est arrivée rapidement. Il n'accepte pas de rompre le serment, et vous dit qu'il y a encore de l'espoir… Vous devez faire de votre mieux pour chasser le Mal de ces terres…;;;;;;;;;;;;x
EVTOPTAwotr.108;For you, my love...;Pour toi, mon amour…;;;;;;;;;;;;x
EVTwotr.109;Break the Vow of Cerin Amroth;Rompre le Serment de Cerin Amroth;;;;;;;;;;;;x
EVTDESCwotr.109;@FIXME@ After ten years, Aragorn can ask once again;@FIXME@ After ten years, Aragorn can ask once again;;;;;;;;;;;;x
EVTvalinor.13;Death of the King;La Mort du Roi;;;;;;;;;;;;x
EVTDESCvalinor.13;Aragorn, the last son of the Dúnedain, King of Gondor and Arnor, former member of the Fellowship of the Ring, is dead. He has restored the Power of the Kings of past, and the Royal House of Telcontar is as glorious as those of his ancestors. He truly brought a new Age of Prosperity for Men.;Aragorn, le dernier des Dúnedains, devenu Roi de Gondor et d'Arnor, et membre de la Communauté de l'Anneau, est mort. Il a redoré la puissance des Rois de Jadis, et la Maison Royale de Telcontar est aussi glorieuse que celles de ses ancêtres. Avec lui, un nouvel âge de prospérité est arrivé pour les Hommes.;;;;;;;;;;;;x
EVTOPTAvalinor.13;The greatest King of our Time.;Le plus grand Roi de notre Temps.;;;;;;;;;;;;x
claim_noldor;Claim the High Kingship of the Noldor;Réclamer la Couronne des Noldor;;;;;;;;;;;;x
claim_noldor_desc;@FIXME@ Claim the High Kingship of the Noldor;@FIXME@ Réclamer la Couronne des Noldor;;;;;;;;;;;;x
EVTTITarnorgondor.9;The Dunedain;Les Dunedains;;;;;;;;;;;;x
EVTDESCarnorgondor.9;You are now the King of one of the ancients Numenorian's Kingdoms in Exile. The title of Chief of the Dunedain of North is no more interesting for you, and you should abandon it to keep only the one that counts: the title of King! What do you think?;Vous êtes maintenant le Roi d'un des anciens royaumes Numénoréens en Exil. Le titre de chef des Dunedains du Nord ne vous est plus d'aucun interêt, et vous devriez l'abandonner pour ne garder que celui qui compte : le titre de Roi! Qu'en pensez-vous?;;;;;;;;;;;;x
EVTOPTAarnorgondor.9;I don't need to hold this title anymore.;Je n'ai plus besoin de ce titre.;;;;;;;;;;;;x
EVTOPTBarnorgondor.9;This is the title of my family!;C'est le titre de ma lignée !;;;;;;;;;;;;x
EVTvalinor.14;@FIXME@Ringbearers depart;@FIXME@Ringbearers depart;;;;;;;;;;;;;x
EVTDESCvalinor.14;@FIXME@ Ringbearers depart;@FIXME@ Ringbearers depart;;;;;;;;;;;;;x
EVTOPTAvalinor.14;@FIXME@ Do you want to join the Ringbearergbearers depart;@FIXME@ Do you want to join the Ringbearergbearers depart;;;;;;;;;;;;;x
EVTvalinor.12;@FIXME@ Aragorn is dead...;@FIXME@ Aragorn is dead...;;;;;;;;;;;;;x
EVTDESCvalinor.12;@FIXME@ Aragorn is dead...;@FIXME@ Aragorn is dead...;;;;;;;;;;;;;x
EVTOPTAvalinor.12;@FIXME@ I'll die too...;@FIXME@ I'll die too...;;;;;;;;;;;;;;x
EVTTITarnorgondor.1;Realm Tensions;@FIXME@ Realm Tensions;;;;;;;;;;;;;;x
EVTDESCarnorgondor.1;It is hard to effectively rule both Arnor and Gondor. Even Elendil himself saw the truth of this, and divided his realm into two. Many suggest giving one of your children either Arnor or Gondor to rule directly.;@FIXME@ It is hard to effectively rule both Arnor and Gondor. Even Elendil himself saw the truth of this, and divided his realm into two. Many suggest giving one of your children either Arnor or Gondor to rule directly.;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.1;It may be wise, yes.;@FIXME@ It may be wise, yes.;;;;;;;;;;;;;;x
EVTOPTBarnorgondor.1;No, the Kingdom will stay united.;@FIXME@ No, the Kingdom will stay united.;;;;;;;;;;;;;;x
EVTTITarnorgondor.2;Realm Tensions;@FIXME@ Realm Tensions;;;;;;;;;;;;;;x
EVTDESCarnorgondor.2;Your nobles seem to accept the decision to keep the realm intact, but many are simply taking local decisions into their own hands now, since they grow tired of constantly having to await word from your distant capital.;@FIXME@ Your nobles seem to accept the decision to keep the realm intact, but many are simply taking local decisions into their own hands now, since they grow tired of constantly having to await word from your distant capital.;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.2;Hmm... alright, we divide the realm then!;@FIXME@ Hmm... alright, we divide the realm then!;;;;;;;;;;;;;;x
EVTOPTBarnorgondor.2;Fine, but we still stay united as one realm.;@FIXME@ Fine, but we still stay united as one realm.;;;;;;;;;;;;;;x
EVTTITarnorgondor.3;Realm Tensions;@FIXME@ Realm Tensions;;;;;;;;;;;;;;x
EVTDESCarnorgondor.3;The High King has refused to split Arnor and Gondor between his heirs, and insists on holding both titles for himself. He can not possibly rule two such large and distant realms effectively. Still, his wish is our command...;@FIXME@ The High King has refused to split Arnor and Gondor between his heirs, and insists on holding both titles for himself. He can not possibly rule two such large and distant realms effectively. Still, his wish is our command...;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.3;We'll just have to make do.;@FIXME@ We'll just have to make do.;;;;;;;;;;;;;;x
EVTTITarnorgondor.4;Dividing the Realm;@FIXME@ Dividing the Realm;;;;;;;;;;;;;;x
EVTDESCarnorgondor.4;You have decided to divide the realm. Do you want to do it yourself (give away one either Arnor or Gondor title within 30 days) or do you want it to be done automatically now?;@FIXME@ You have decided to divide the realm. Do you want to do it yourself (give away one either Arnor or Gondor title within 30 days) or do you want it to be done automatically now?;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.4;I'll do it myself right now.;@FIXME@ I'll do it myself right now.;;;;;;;;;;;;;;x
EVTOPTBarnorgondor.4;Give my non-heir child Arnor automatically.;@FIXME@ Give my non-heir child Arnor automatically.;;;;;;;;;;;;;;x
EVTOPTCarnorgondor.4;I changed my mind, we stay United!;@FIXME@ I changed my mind, we stay United!;;;;;;;;;;;;;;x
EVTTITarnorgondor.5;Arnor is Yours;@FIXME@ Arnor is Yours;;;;;;;;;;;;;;x
EVTDESCarnorgondor.5;You father the High King has decided to give you the rule of Arnor, to hold in his name. It is a daunting task, but one which you must accept and fulfill to the best of your ability.;@FIXME@ You father the High King has decided to give you the rule of Arnor, to hold in his name. It is a daunting task, but one which you must accept and fulfill to the best of your ability.;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.5;I will not let him down!;@FIXME@ I will not let him down!;;;;;;;;;;;;;;x
EVTTITarnorgondor.6;Dividing the Realm;@FIXME@ Dividing the Realm;;;;;;;;;;;;;;x
EVTDESCarnorgondor.6;You have broken your promise, and have not split the realm immediately as you said you would. Your vassals are not amused.;@FIXME@ You have broken your promise, and have not split the realm immediately as you said you would. Your vassals are not amused.;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.6;I was just getting to it!;@FIXME@ I was just getting to it!;;;;;;;;;;;;;;x
EVTTITarnorgondor.7;The Reunited Kingdom;@FIXME@ The Reunited Kingdom;;;;;;;;;;;;;;x
EVTDESCarnorgondor.7;Arnor and Gondor have split, as it was nearly impossible to rule such realms from one location. They remain kin however, and have sworn oaths of abiding friendship and aid in need.;@FIXME@ Arnor and Gondor have split, as it was nearly impossible to rule such realms from one location. They remain kin however, and have sworn oaths of abiding friendship and aid in need.;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.7;Interesting...;@FIXME@ Interesting...;;;;;;;;;;;;;;x
EVTTITarnorgondor.8;Arnor;@FIXME@ Arnor;;;;;;;;;;;;;;x
EVTDESCarnorgondor.8;A new realm is rising, and it is quickly developing its own culture apart from that of Gondor. A mix of Dunedain, Bree-lander, hillsfolk and simple isolated fishing villages. Do you want to embrace this new culture?;@FIXME@ A new realm is rising, and it is quickly developing its own culture apart from that of Gondor. A mix of Dunedain, Bree-lander, hillsfolk and simple isolated fishing villages. Do you want to embrace this new culture?;;;;;;;;;;;;;;x
EVTOPTAarnorgondor.8;I do feel like an Arnorian!;@FIXME@ I do feel like an Arnorian!;;;;;;;;;;;;;;x
EVTOPTBarnorgondor.8;No, I'll stay what I am.;@FIXME@ No, I'll stay what I am.;;;;;;;;;;;;;;x
