#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTDESC70029;While at the tournament I was listening to some lesser Lordling describe how he collected tithes from his subjects. As I listened I realized he was giving his suzerians plenty of ways to avoid giving their due.;Lors du tournoi, j'ai entendu un Seigneur raconter la manière dont il percevait des dîmes auprès de ses serfs et constaté qu'il offrait à ceux-ci de multiples moyens de ne rien lui verser.;Während des Turniers hörte ich einen niederen Fürsten beschreiben, wie er den Zehnten seiner Leibeigenen eintrieb. Beim Zuhören erkannte ich, dass er seinen Leibeigenen viele Möglichkeiten gab, ihre Pflichten zu vernachlässigen.;;Durante el torneo, escuché a uno de esos señoritingos de poca clase explicar cómo se quedaba con los diezmos de sus siervos. A medida que escuchaba, supe que daba a sus siervos innumerables razones para no pagarles.;;;;;;;;;x
EVTOPTA70029;I kept this knowledge to myself;J'ai gardé cette constatation pour moi.;Ich behielt dieses Wissen für mich;;Decidí mantener esto en secreto.;;;;;;;;;x
EVTDESC70030;While at the tournament I joined in a conversation with other Lords on how best to collect tithes. I saw a far easier way and it caused quite an argument with many Lords disagreeing with my stance, but the more I talked the more I convinced myself that I was right.;Lors du tournoi, j'ai suivi une conversation avec d'autres seigneurs sur la meilleure manière de percevoir des dîmes. J'ai indiqué qu'il existait un moyen bien plus simple d'y parvenir, mais bon nombre de chevaliers n'étaient pas d'accord. Cela étant, plus je parlais et plus il m'apparaissait évident que j'avais raison.;Während des Turniers diskutierte ich mit anderen Fürsten darüber, wie der Zehnte am besten einzutreiben seien. Ich erkannte einen einfacheren Weg, an dem sich jedoch die Geister schieden: Viele Fürsten waren anderer Meinung. Je mehr ich sprach, desto sicherer war ich mir aber, dass ich Recht hatte.;;En el torneo, me uní a una conversación con otros señores sobre cuál era la mejor manera de recolectar unos diezmos. Vi un modo más fácil de hacerlo y esto causó un gran desacuerdo con muchos de ellos. Aunque, yo, cuanto más hablaba, más convencido estaba de llevar la razón.;;;;;;;;;x
EVTOPTA70030;But I am right, aren't I?;Mais j'ai raison, n'est-ce pas ?;Ich habe doch Recht, nicht wahr?;;Pero estoy en lo cierto, ¿verdad?;;;;;;;;;x
EVTDESC70031;I was simply passing time at the tournament when I saw two combatants argue over honor. I knew straight away that the argument was spurious and the result would be unnecessary bloodshed. So I stepped in and prevented it.;Lors du tournoi, j'ai surpris la conversation de deux chevaliers qui débattaient de la question de l'honneur. J'ai très vite compris qu'ils ne parviendraient pas à se mettre d'accord et que le sang allait couler. J'ai réagi pour éviter qu'une telle chose arrive.;Ich vertrieb mir auf dem Turnier gerade die Zeit, als ich zwei Ritter über Ehre streiten sah. Ich erkannte sofort, dass es ein ernster Streit war, der in unnötigem Blutvergießen enden würde. Deshalb schritt ich ein, um dies zu verhindern.;;Tan solo estaba pasando el rato en el torneo, cuando vi a dos caballeros hablar sobre el honor. Yo ya sabía que esta discusión era espinosa y que se derramaría sangre innecesariamente, así que me inmiscuí y evité la situación.;;;;;;;;;x
EVTOPTA70031;I am more diplomatic than I thought.;Je suis plus diplomate que je le pensais.;Ich kann diplomatischer sein, als ich dachte.;;Soy más diplomático de lo que pensaba.;;;;;;;;;x
EVTOPTA70032;Oh;Oh !;Oh;;Ups.;;;;;;;;;x
EVTDESC6900;There are many nobles that are great warriors, but there are some I get along quite nicely with. This campaign has given me a true friend.;Nombre de nobles sont d'excellents soldats et je m'entends particulièrement bien avec certains. Cette campagne m'a permis de tisser de véritables liens d'amitié avec un d'entre eux.;Viele Edelmänner sind auch gute Soldaten, und mit manchen von ihnen komme ich ziemlich gut aus.;;Muchos nobles son buenos soldados, pero con algunos me llevo especialmente bien. En esta campaña he encontrado un amigo de verdad.;;;;;;;;;x
EVTOPTA6900;Mellyn nín!;Un frère d'armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESC6901;This campaign has been proof that [From.GetTitledName] is a good person to spend time with. I value [From.GetHerHis] opinion highly, and trust [From.GetHerHim] on the battlefield.;Cette campagne a prouvé que [From.GetTitledName] est de bonne compagnie. J'attache une grande importance à ce qu'il dit et je lui fais entièrement confiance sur le champ de bataille.;Bei diesem Feldzug hat sich herausgestellt, dass man mit [From.GetTitledName] gut die Zeit verbringen kann. Ich schätze [From.GetHerHis] Meinung sehr und vertraue [From.GetHerHim] auf dem Schlachtfeld.;;Esta campaña me ha demostrado que [From.GetTitledName] es una persona con la que merece la pena estar. Tengo en muy alta estima su opinión, y confío en [From.GetHerHim] en el campo de batalla.;;;;;;;;;x
EVTOPTA6901;Mellyn nín!;Un frère d'armes !;Ein Waffenbruder!;;¡Camarada de armas!;;;;;;;;;x
EVTDESC6910;As I fought today, I noticed one enemy that had knocked down one of our noblemen and was about to get the killing blow. I threw myself forward and let my shield cover my comrade's body and struck a hard blow against my enemy.;Aujourd'hui, alors que je me battais, j'ai vu un ennemi s'en prendre à un de nos nobles et se préparer à lui asséner le coup de grâce. Immédiatement, j'ai utilisé mon bouclier pour protéger le corps de mon camarade avant de donner un coup magistral à mon ennemi.;Bei den heutigen Kämpfen bemerkte ich, dass einer unserer Edelmänner von einem Feind niedergestreckt worden war und gerade den Todesstoß erhalten sollte. Ich warf mich nach vorne und schützte den Körper meines Kameraden mit meinem Schild. Dann versetzte ich dem Feind einen schweren Schlag.;;En la lucha de hoy, me percaté de que un enemigo había noqueado a uno de nuestros nobles y estaba a punto de asestarle el golpe final. Me lancé hacia delante cubriendo el cuerpo de mi compañero con el escudo y asestándole con él un duro golpe al enemigo.;;;;;;;;;x
EVTOPTA6910;A life saved!;J'ai sauvé une vie !;Ein gerettetes Leben!;;¡Una vida salvada!;;;;;;;;;x
EVTDESC6911;I thought I was going to die today, but [From.GetTitledName] saved my life. I will forever be grateful of [From.GetHerHis] actions on this day.;J'ai bien cru mourir aujourd'hui, mais grâce à [From.GetTitledName], j'ai survécu. À partir de maintenant, ma reconnaissance lui est, pour toujours, acquise.;Heute dachte ich, mein letztes Stündlein hätte geschlagen, doch dann rettete [From.GetTitledName] mein Leben. Ich werde für [From.GetHerHis] heutigen Taten für immer dankbar sein.;;Hoy pensé que iba morir, pero [From.GetTitledName] me ha salvado la vida. Siempre estaré agradecido por sus actos en el día de hoy.;;;;;;;;;x
EVTOPTA6911;Guren glassui!;Je suis en vie.;Ich bin am Leben ...;;Estoy vivo.;;;;;;;;;x
EVTDESC6920;It is clear that there are unkempt buffoons in the army of our liege. I simply can't stand some of them, and one individual in particular is frustrating me to no end.;L'Ost de mon suzerain compte un certain nombre de bouffons. Certains m'exaspèrent et plus particulièrement un d'entre eux à un point que vous ne pouvez pas imaginer.;Mir ist klar, dass es in der Armee unseres Lehnsherrn aufgeblasene Popanze gibt. Einige von ihnen kann ich einfach nicht ausstehen. Einer frustriert mich gar unendlich.;;Es evidente que en el ejército de nuestro señor hay unos cuantos mamarrachos impresentables. A algunos no puedo soportarlos, pero hay uno que me saca de quicio especialmente.;;;;;;;;;x
EVTOPTA6920;The feeling is clearly mutual;Visiblement, c'est réciproque.;Dieser Eindruck beruht eindeutig auf Gegenseitigkeit;;Sin duda, el sentimiento es mutuo.;;;;;;;;;x
EVTDESC6921;This campaign has been proof that [From.GetTitledName] is clearly not of proper blood. I wish I would never have to meet [From.GetHerHim] again.;Cette campagne a prouvé que [From.GetTitledName] n'est pas quelqu'un de respectable. J'espère que nous ne nous reverrons jamais.;Dieser Feldzug hat bewiesen, dass [From.GetTitledName] eindeutig nicht noblen Blutes ist. Ich wünschte, ich würde [From.GetHerHim] nie wiedersehen müssen.;;Esta campaña me ha demostrado que [From.GetTitledName] no lleva el honor en la sangre. Ojalá nunca tenga que encontrarme con [From.GetHerHim] de nuevo.;;;;;;;;;x
EVTOPTA6921;Lets hope not..;J'espère...;Hoffentlich nicht ...;;Esperemos que no...;;;;;;;;;x
EVTDESC74000;I had invited a ferret trainer to the Erulaitalë festival and the performance went well until one of the ferrets refused to ride on top of a pig. The trainer beat the ferret with a stick which led the other ferrets to attack the trainer, hissing, biting, and causing spectators to flee in terror.;J'avais invité un dresseur de singes lors du Festival d'été et tout s'est bien passé jusqu'à ce qu'un de ses animaux refuse de monter sur le dos d'un cochon. Le dresseur a donné des coups de baguette au singe, ce à quoi les autres singes ont riposté en le frappant, à leur tour, avec sa propre baguette.;Auf das Sommerfest hatte ich einen Affendompteur eingeladen. Die Vorstellung lief so lange gut, bis sich einer der Affen weigerte, auf einem Schwein zu reiten. Der Dompteur schlug den Affen mit einem Stock, worauf ihn die anderen Affen attackierten. Sie bissen ihn und schlugen ihn mit seinem eigenen Stock.;;Había invitado a un entrenador de monos a la feria de verano, y la actuación iba bien hasta que uno de los monos se negó a subirse encima de un cerdo. El entrenador golpeó al mono con una vara y los demás monos se lanzaron a por el entrenador para golpearlo con su propia vara.;;;;;;;;;x
EVTOPTA74000;Shouldn't someone do something?;Ne faudrait-il pas faire quelque chose ?;Sollte nicht jemand irgendwas unternehmen?;;¿No hay nadie que pueda hacer algo?;;;;;;;;;x
EVTOPTB74000;Serves him right!;Ça lui servira de leçon !;Geschieht ihm recht!;;¡Le está bien merecido!;;;;;;;;;x
EVTOPTC74000;Save that poor man!;Portez secours à ce pauvre homme !;Rettet diesen armen Mann!;;¡Que alguien salve a ese pobre hombre!;;;;;;;;;x
EVTOPTD74000;He shouldn't have beaten that poor creature;Il n'aurait pas dû frapper cette pauvre créature.;Er hätte diesen armen Affen nicht züchtigen sollen;;No debería haber pegado a la pobre criatura.;;;;;;;;;x
EVTOPTE74000;Here's your money, I don't ever want to see you here again;Voilà votre argent… Je ne veux plus jamais vous revoir ici.;Hier ist Euer Geld, und nun packt Euch hinfort!;;Toma tu dinero, no quiero volver a verte nunca más.;;;;;;;;;x
EVTDESC74005;The Erulaitalë festival's Archery contest went very well. The clout and the space around it was filled with arrows, some of them had hit the bullseye, some of them had missed the clout altogether. The winner was a modest person who disappeared rather quickly after he collected his prize.;Le concours de tir à l'arc organisé lors du Festival d'été s'est très bien passé. De nombreuses flèches ont été décochées, certaines dans le mille, d'autres à côté. Le concours a été remporté par un homme modeste qui a très vite disparu après avoir récupéré son prix.;Der Bogenschießwettbewerb des Sommerfests lief sehr gut. Die Zielscheibe und der Bereich außen herum war voller Pfeile. Einige hatten genau ins Schwarze getroffen, andere aber die Zielscheibe gänzlich verfehlt. Der Sieger war ein bescheidener Mann, der nach Erhalt seines Preises ziemlich schnell verschwand.;;La competición de arquería de la feria de verano fue estupendamente. La bandera y el espacio de alrededor estaban llenos de flechas. Algunas, acertaron de lleno, otras, ni siquiera se acercaron. El ganador fue un hombre modesto que desapareció bastante rápido cuando recogió su premio.;;;;;;;;;x
EVTOPTA74005;That is suspicious;C'est suspect !;Das ist verdächtig;;Qué sospechoso.;;;;;;;;;x
EVTOPTB74005;So he was a good archer, a good poacher as well I think...;Un bon archer… Doublé d'un bon braconnier, si vous voulez mon avis...;Er war also ein guter Bogenschütze. Wohl auch ein guter Wilderer ...;;Con que un buen arquero... un buen cazador furtivo diría yo.;;;;;;;;;x
EVTOPTC74005;[Root.GetMarshalName], find and arrest him!;Maréchal, trouvez cet homme et arrêtez-le !;Marschall! Findet und verhaftet diesen Mann!;;¡Mariscal, encuentre y arreste a ese hombre!;;;;;;;;;x
EVTOPTD74005;Good archer, that one;Bon archer, cet homme !;Guter Bogenschütze, dieser Mann;;Qué buen arquero es ese hombre.;;;;;;;;;x
EVTOPTE74005;I wanted to talk to him!;Je voulais lui parler !;Ich wollte mit ihm sprechen;;¡Quería hablar con él!;;;;;;;;;x
EVTOPTF74005;I can't help but feel the prize was inadequate;J'ai le sentiment que le prix n'était pas adapté.;Ich finde irgendwie, dass der Preis zu mager war;;Me temo que el premio no era el adecuado.;;;;;;;;;x
EVTDESC74010;The minstrel who performed during the Erulaitalë festival danced around with his annoying lute and before I knew it he hit me with his bauble! Everyone laughed at this and at his 'jokes', or rather his insults.;Le bouffon qui s'est produit lors du Festival d'été courait partout avec son stupide chapeau à clochettes et s'en est pris à moi ! Tout le monde a ri de ses blagues, ou plutôt, de ses insultes.;Der für das Sommerfest verpflichtete Hofnarr rannte mit seiner dämlichen Glockenmütze umher, und bevor ich reagieren konnte, schlug er mich mit seiner Narrenpritsche! Alle fanden dies, wie auch seine sonstigen 'Scherze' bzw. Beleidigungen, sehr lustig.;;El bufón que actuó en la feria de verano corría alrededor con su estúpido sombrero de cascabeles. ¡Cuando me quise dar cuenta me dio con ese chisme! Todos se rieron de la situación y de sus bromas, o mas bien de sus insultos.;;;;;;;;;x
EVTOPTA74010;It was rather funny;C'était plutôt amusant !;Das war eher lustig;;Fue bastante divertido.;;;;;;;;;x
EVTOPTB74010;Well, obviously he couldn't get a better job;Eh bien, il n'est pas bouffon pour rien !;Nun, offensichtlich konnte er keine bessere Arbeit finden;;Es obvio que no ha podido conseguir un trabajo mejor.;;;;;;;;;x
EVTOPTC74010;A "minstrel" indeed!;Quel imbécile !;Was für ein Narr!;;¡Menudo idiota!;;;;;;;;;x
EVTOPTD74010;If he jokes about me, then he has gone too far!;En se moquant de moi, il est allé trop loin !;Wenn er über mich Witze reißt, dann ist er zu weit gegangen!;;Como me haga una broma, se va a enterar.;;;;;;;;;x
EVTOPTE74010;Throw him into the dungeon!;Jetez-le en prison !;Werft ihn in den Kerker!;;¡A prisión con él!;;;;;;;;;x
EVTOPTF74010;Haha! He's such a fool;Haha ! Quel imbécile !;Haha! Wie närrisch er ist ...;;¡Ja, ja! Menudo idiota.;;;;;;;;;x
EVTOPTG74010;If I pay him more, perhaps he will not joke about me;En le payant davantage, peut-être arrêtera-t-il de faire des blagues sur moi.;Wenn ich ihm mehr zahle, wird er vielleicht keine Witze mehr über mich reißen;;Si le pago más, lo mismo deja de hacerme bromas.;;;;;;;;;x
EVTDESC74015;Mummers are singing outside the town houses while slowly moving towards my gates. The Erulaitalë festival suddenly felt less pleasant as the mummers,  clad in strange clothes, went from door to door, singing and frightening small children.;Les mimes chantent dans les rues et se dirigent lentement vers le château. Le Festival a soudain pris une tournure moins agréable alors que ces mimes, arborant d'étranges vêtements, allaient de porte en porte, chantant et effrayant les enfants.;Außerhalb der Stadthäuser singen Fatzken und bewegen sich langsam auf meine Burg zu. Als die merkwürdig gekleideten Fatzken singend von Tür zu Tür zogen und kleine Kinder ängstigten, war das Sommerfest urplötzlich nicht mehr ganz so schön.;;Hay actores cantando frente a las casas del pueblo y vienen lentamente hacia mi castillo. La feria de verano de repente dejó de ser tan agradable con estos actores yendo puerta por puerta cantando y atemorizando a los pequeños con sus extraños atavíos.;;;;;;;;;x
EVTOPTA74015;If they think they will get in, they are wrong;S'ils pensent pouvoir entrer, ils se trompent.;Wenn sie glauben, ich würde sie hereinlassen, dann haben sie sich aber geirrt!;;Si creen que van a entrar, se equivocan.;;;;;;;;;x
EVTOPTB74015;Yes, this is exactly what I don't need!;Eh bien, je n'ai vraiment pas besoin de cela !;Das ist genau etwas, das ich NICHT brauche!;;¡Sí, justo lo que no necesito!;;;;;;;;;x
EVTOPTC74015;My vassal told me to not let them in, so I won't;À la demande de mon vassal, je ne dois pas les laisser entrer.;Mein Vasall riet mir, sie nicht herein zu lassen! Ich halte mich daran.;;Mi vasallo me dijo que no les dejara entrar, y le haré caso.;;;;;;;;;x
EVTOPTD74015;Mae govannen! Come on in!;Entrez ! Soyez les bienvenus !;Kommt herein! Willkommen!;;¡Entrad! ¡Bienvenidos!;;;;;;;;;x
EVTOPTE74015;I can't wait! I love mummers!;J'ai hâte ! J'adore les mimes !;Ich kann es kaum erwarten! Ich LIEBE Fatzken!;;¡Qué ilusión! ¡Me encantan los actores!;;;;;;;;;x
EVTDESC74020;When the alderman asked for permission for a Erulaitalë festival I could never have guessed I would regret that. After a Piepowder Court held in front of my own bailiff, they sentenced one of my vassals to being drawn in a tumbler across the town square!;Lorsque le conseiller communal a demandé la permission d'organiser un Festival d'été, j'étais loin de m'imaginer que je le regretterais. Lors d'un procès improvisé sous les yeux de mon bailli, un de mes vassaux a été condamné à être torturé sur la place publique !;Als mich der Stadtrat um Erlaubnis für ein Sommerfest bat, konnte ich ja nicht ahnen, dass ich dies später bereuen würde. Ein vor meinem eigenen Landvogt abgehaltenes Marktgericht verurteilte einen meiner Vasallen, in einem Fass über den Rathausplatz gezogen zu werden!;;Cuando el concejal me pidió permiso para organizar una feria de verano, nunca pensé que me arrepentiría de aceptar. Tras el juicio de mercaderes que se celebró frente a mi propio alguacil, ¡sentenciaron a uno de mis vasallos a ser arrastrado en una tina por la plaza del pueblo!;;;;;;;;;x
EVTOPTA74020;I can't believe their imprudence!;Quelle incroyable imprudence !;Ich kann ihren Leichtsinn kaum fassen!;;¡Cuánta imprudencia!;;;;;;;;;x
EVTOPTB74020;This is what happens when the *beep* get power!;Voilà ce qui arrive lorsque les *bip* ont le pouvoir !;DAS passiert, wenn man dem mistigen Pöbel Macht gibt!;;¡Esto es lo que pasa cuando estos *bip* se crecen!;;;;;;;;;x
EVTOPTC74020;They will regret this!;Ils le regretteront !;Das werden sie noch bereuen!;;¡Lo lamentarán!;;;;;;;;;x
EVTOPTD74020;Once more! Please!;Encore une fois ! S'il vous plaît !;Nochmal! Bitte!;;¡Una vez más! ¡Por favor!;;;;;;;;;x
EVTOPTE74020;They did exactly what they should have done;Ils ont fait ce qu'ils devaient.;Sie haben exakt das getan, was von ihnen erwartet wurde;;Hicieron exactamente lo que debían hacer.;;;;;;;;;x
EVTDESC74025;The strolling players had set up their scene and were rehearsing their lines for tonight's performance at the Erulaitalë festival when I approached them.;Les comédiens ambulants préparaient leur décor et répétaient pour le spectacle du Festival d'été quand j'ai décidé de leur rendre une petite visite.;Als ich sie ansprach, hatten die fahrenden Schauspieler ihr Bühnenbild gerade aufgebaut und übten für ihren heutigen Abendauftritt beim Sommerfest.;;Los actores ambulantes habían montado su escenario y ensayaban para la actuación de esa noche en la feria de verano cuando me acerqué a ellos.;;;;;;;;;x
EVTOPTA74025;I'd prefer if you performed 'Valaquenta';Je préférerais vous voir jouer 'Les Rois des Croisades'.;Ich würde es vorziehen, wenn Ihr 'Die Kreuzzügler' spieltet;;Yo preferiría que hicierais 'The Crusader Kings'.;;;;;;;;;x
EVTOPTB74025;Theatre is a reflection of the world;Le théâtre est le reflet du monde.;Theater ist ein Spiegel der Welt;;El teatro es un reflejo del mundo.;;;;;;;;;x
EVTOPTC74025;Leave as soon as you are done;Allez-vous-en lorsque vous aurez terminé.;Packt Euch hinfort, sobald Ihr fertig seid;;Marchaos en cuanto acabéis.;;;;;;;;;x
EVTOPTD74025;[Root.Spouse.GetTitledFirstName] wants you to join us for supper;[Root.Spouse.GetTitledFirstName] vous invite à vous joindre à nous pour le souper.;[Root.Spouse.GetTitledFirstName] möchte Euch zum Abendbrot einladen;;[Root.Spouse.GetTitledFirstName] quiere que comas con nosotros.;;;;;;;;;x
EVTDESC74030;Even if the priests frown upon actors and gleemen, I enjoy their humorous and bawdy acts during the Erulaitalë festival.;Même si l'Église juge d'un mauvais œil les jongleurs, j'aime leur humour et leurs prestations lors du Festival d'été.;Selbst die Kirche missbilligt Jongleure und nennt sie 'Gaukler'. Ich aber mag ihre lustigen und derben Auftritte auf dem Sommerfest.;;Por mucho que la iglesia deteste a los juglares y los llame 'cantamañanas', disfruto de sus actos obscenos y humorísticos en la feria de verano.;;;;;;;;;x
EVTOPTA74030;One of them can juggle nine apples at the same time!;L'un d'entre eux peut jongler avec neuf pommes à la fois !;Einer von ihnen kann gleichzeitig neun Äpfel jonglieren!;;¡Uno de ellos hacía malabarismos con nueve manzanas a la vez!;;;;;;;;;x
EVTOPTB74030;Old people hate fun things;L'Église n'a aucun humour.;Spaßige Dinge kann die Kirche nicht leiden;;A la iglesia no le gusta que nos divirtamos.;;;;;;;;;x
EVTOPTC74030;If that priest says anything...;Si le prêtre trouve à redire...;Wenn der Priester auch nur ein Wort sagt ...;;Como el cura diga algo...;;;;;;;;;x
EVTOPTD74030;If it's improper, should I really like it?;Si l'Église n'apprécie pas, dois-je vraiment l'apprécier ?;Wenn es der Kirche nicht gefällt, ziemt es sich dann für mich?;;Si a la iglesia no le gusta, ¿debería gustarme a mí?;;;;;;;;;x
EVTOPTA74035;I want my money back!;Qu'on me rembourse !;Ich will mein Geld zurück!;;¡Que me devuelvan el dinero!;;;;;;;;;x
EVTOPTB74035;Off with their heads!;Qu'ils arrêtent !;Jetzt sollen ihre Köpfe springen!;;¡Que les corten la cabeza!;;;;;;;;;x
EVTOPTC74035;The end was fun;La fin était amusante.;Der Schluss war lustig;;El final fue divertido.;;;;;;;;;x
EVTDESC74040;Every Erulaitalë festival, conjurers and astrologers flock to read signs, events and omens. Their interpretation of such things are often exaggerated but there are still people who believe in their rituals and interpretations.;Mages et devins se pressent à chaque Festival d'été afin d'interpréter les signes, les événements et les présages. Cette interprétation est souvent exagérée, mais certaines personnes y croient dur comme fer.;Auf jedem Sommerfest lesen Magier und Wahrsager Zeichen, Ereignisse und Omen. Ihre Interpretationen solcher Dinge sind zwar oft übertrieben, aber es gibt immer noch Leute, die an ihre Rituale und Interpretationen glauben.;;En cada feria de verano, los magos y adivinos se reúnen para leer signos, acontecimientos y profecías. Su interpretación suele ser exagerada, pero aún hay quien cree en sus rituales e interpretaciones.;;;;;;;;;x
EVTOPTA74040;Allow them to stay;Autorisez leur venue.;Sie dürfen bleiben;;Deja que se queden.;;;;;;;;;x
EVTTOOLTIP74041;[This.GetTitledFirstName] disapproves of the conjurers and astrologers;[This.GetTitledFirstName] désapprouve les mages et les devins.;[This.GetTitledFirstName] missbilligt Magier und Wahrsager;;[This.GetTitledFirstName] desaprueba la presencia de adivinos y magos.;;;;;;;;;x
EVTOPTB74040;Banish them from the Erulaitalë festival;Interdisez-leur de participer au Festival d'été.;Verbannt sie vom Sommerfest;;Destiérralos de la feria de verano.;;;;;;;;;x
EVTDESC74041;[From.GetTitledFirstName] does not care about the silly conjurers and astrologers that flock at Erulaitalë festivals to lure honest people from their hard-earned coin and make them believe their ridiculous interpretations of everyday life!;[From.GetTitledFirstName] n'a que faire des mages et devins païens qui se pressent au Festival d'été pour attirer d'honnêtes gens, leur soutirer de l'argent et leur faire croire des choses ridicules !;[From.GetTitledFirstName] schert sich nicht um die heidnischen Magier und Wahrsager, die sich auf dem Sommerfest tummeln und dort ehrliches Volk um seine schwer verdienten Groschen bringen und es ihre lächerlichen Interpretationen des Alltags glauben machen!;;¡A [From.GetTitledFirstName] no le importa que los magos y adivinos paganos que se reúnen en la feria de verano les saquen los cuartos a la gente honrada y trabajadora haciéndoles creer sus ridículas interpretaciones de las cosas más cotidianas!;;;;;;;;;x
EVTOPTA74041;Why do you allow them to deceive people?;Pourquoi les autorisez-vous à tromper ces gens ?;Warum erlaubt Ihr ihnen die Täuschung der Leute?;;¿Por qué permites que engañen a la gente?;;;;;;;;;x
EVTDESC74042;An errant Námondur is disturbing the Erulaitalë festival by preaching about the Dagor Dagorath and the end of the world. His drivel is frightening some, but most of the crowd around him is mocking and laughing at him.;Un moine errant perturbe le Festival d'été en évoquant des péchés et la fin du monde. Ses balivernes effraient certaines personnes, même si la plupart s'en moquent.;Ein Wandermönch stört das Sommerfest mit seinen Predigten über Sünden und das Ende der Welt. Sein Gelaber verängstigt manche, doch der Großteil der Menge triezt ihn und lacht ihn aus.;;Un monje errante causa alboroto en la feria de verano predicando sobre los pecados y el fin del mundo. Sus estupideces atemorizan a algunos, pero la mayoría se burla y se ríe de él.;;;;;;;;;x
EVTOPTA74042;He's just another part of the entertainment;Il fait partie des divertissements.;Er gehört zum Unterhaltungsprogramm;;Tan solo es parte del entretenimiento.;;;;;;;;;x
EVTTOOLTIP74043;The errant Námondur upsets [This.GetTitledFirstName];Le moine errant inquiète [This.GetTitledFirstName].;Der Wandermönch verärgert [This.GetTitledFirstName];;A [This.GetTitledFirstName] no le gusta el monje errante.;;;;;;;;;x
EVTOPTB74042;Kick him out, he does not belong at the Erulaitalë festival;Chassez-le ! Il n'a rien à faire au Festival d'été.;Werft ihn hinaus, er hat auf dem Sommerfest nichts verloren!;;Échalo, no se le ha perdido nada en la feria de verano.;;;;;;;;;x
EVTDESC74043;The errant Námondur preaching about the end of the world and the Dagor Dagorath is attracting quite a crowd. Most of them are laughing at and mocking him, but some look terrified and some are listening intently. [From.GetTitledFirstName] does not seem to appreciate the seriousness of this!;Le moine errant qui parle de la fin du monde et des péchés attire un certain nombre de curieux. La plupart s'en moquent, mais certains semblent terrifiés et d'autres l'écoutent attentivement. [From.GetTitledFirstName] ne semble pas apprécier le sérieux de tout cela !;Der über Sünden und das Ende der Welt predigende Wandermönch zieht eine beachtliche Zuschauermenge an. Die meisten lachen ihn aus und triezen ihn, manche aber sehen verängstigt aus und hören konzentriert zu. [From.GetTitledFirstName] scheint die Ernsthaftigkeit hiervon nicht zu erkennen!;;El monje errante que predica sobre el fin del mundo y los pecados atrae la atención de bastante gente. La mayoría se ríe y se burla de él, pero algunos lo miran atemorizados y otros lo escuchan atentamente. ¡A [From.GetTitledFirstName] no parece agradarle que se lo tomen tan en serio!;;;;;;;;;x
EVTOPTA74043;Kick him out! He's clearly disturbing the commoners;Chassez-le ! Il perturbe clairement les paysans.;Werft ihn hinaus! Er bringt mir die Bauern durcheinander!;;¡Échalo! Sin duda, está alterando a los campesinos.;;;;;;;;;x
EVTDESC74044;[Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] caught the peddlers selling stolen goods red-handed!;Le Maréchal [Root.job_marshal.GetTitledFirstName] a surpris des colporteurs en train de vendre des marchandises volées !;Marschall [Root.job_marshal.GetTitledFirstName] hat die Hausierer auf frischer Tat beim Verkauf gestohlener Waren erwischt!;;¡El mariscal [Root.job_marshal.GetTitledFirstName] ha pillado in fraganti a los vendedores ambulantes vendiendo mercancía robada!;;;;;;;;;x
EVTOPTA74044;Execute them publicly!;Exécutez-les publiquement !;Öffentlich hinrichten!;;¡Ejecútalos en público!;;;;;;;;;x
EVTOPTB74044;Seize his goods and lock him up!;Confisquez-lui ses marchandises et mettez-le en prison !;Einsperren und Waren beschlagnahmen!;;¡Confisca lo que lleva y enciérralo!;;;;;;;;;x
EVTTOOLTIP74046;is annoyed with [Root.GetTitledFirstName] decision about letting the commoners in; s'agace de la décision de [Root.GetTitledFirstName] de laisser venir les paysans.; ist über [Root.GetTitledFirstName]s Entscheidung verärgert, die Bauern hereinzulassen;; está enfadado con [Root.GetTitledFirstName] por dejar que los campesinos entren.;;;;;;;;;x
EVTOPTB74045;Restrict the commoners access to the city;Limitez l'accès des paysans à la cité.;Zugang der Bauern zur Stadt einschränken;;Impide que los campesinos accedan a la villa.;;;;;;;;;x
EVTDESC74046;During the Erulaitalë festival, the commoners are pouring in through the gates of [Root.Location.GetName] and [From.GetTitledFirstName] does not care at all!;Au cours du Festival d'été, les paysans franchissent en masse les portes de [Root.Location.GetName] et [From.GetTitledFirstName] n'en a rien à faire !;Während des Sommerfests strömen Bauern durch die Tore von [Root.Location.GetName]. [From.GetTitledFirstName] kümmert das überhaupt nicht!;;En la feria de verano, los campesinos cruzan en masa las puertas de [Root.Location.GetName], ¡y a [From.GetTitledFirstName] no le importa lo más mínimo!;;;;;;;;;x
EVTOPTA74046;My beautiful city! How can you let this happen?;Ma superbe cité ! Comment pouvez-vous laisser faire une chose pareille ?;Meine schöne Stadt! Wie konntet Ihr das geschehen lassen?;;¡Mi preciosa villa! ¿Cómo puedes dejar que pase esto?;;;;;;;;;x
